Opportunity_ID,Salesperson_Name,Region,Industry,Lead_Source,Deal_Stage,Plan_Type,Concurrent_Sessions,Managed_Devices,Deal_Size (£),ARR (£),Closed_Lost_Reason,Sales_Cycle_Days,Created_Date,Closed_Date
19,Salesperson_9,North America,Manufacturing,Marketing,Closed Won,Enterprise,1,150,132801.22,69638.89,,157,2024-01-19,2023-12-21 00:00:00
20,Salesperson_10,EU,Healthcare,Partner,Closed Lost,Premium,3,50,123033.37,23859.38,,146,2024-01-20,
21,Salesperson_1,North America,Education,Partner,Proposal Sent,Plus,5,200,49252.18,171404.72,Chose Competitor,143,2024-01-21,2024-05-26 00:00:00
22,Salesperson_2,EU,Managed Service Providers,Inbound,Closed Lost,Premium,1,150,129398.61,214006.97,,110,2024-01-22,
23,Salesperson_3,EU,Managed Service Providers,Outbound,Closed Lost,Essentials,3,200,142380.92,150531.26,,149,2024-01-23,
24,Salesperson_4,EU,Healthcare,Partner,Negotiation,Essentials,2,150,63944.64,242537.68,,174,2024-01-24,
25,Salesperson_5,North America,Managed Service Providers,Inbound,Qualified,Premium,3,200,50346.85,147873.92,No Decision,61,2024-01-25,2023-12-28 00:00:00
26,Salesperson_6,EU,Education,Outbound,Qualified,Plus,2,150,18070.39,124635.3,,82,2024-01-26,2023-12-02 00:00:00
27,Salesperson_7,EU,Managed Service Providers,Inbound,Closed Won,Premium,5,3,16523.86,65640.06,,92,2024-01-27,
28,Salesperson_8,EU,Managed Service Providers,Inbound,Qualified,Plus,1,3,110843.19,31799.57,,44,2024-01-28,2024-11-21 00:00:00
29,Salesperson_9,North America,Energy & Utilities,Marketing,Closed Won,Premium,1,200,142005.71,205636.98,,124,2024-01-29,
30,Salesperson_10,EU,Other,Marketing,Qualified,Premium,2,150,28941.4,143980.35,,60,2024-01-30,
31,Salesperson_1,North America,Education,Partner,Proposal Sent,Premium,1,150,13324.67,247651.21,,84,2024-01-31,
32,Salesperson_2,EU,Education,Partner,Proposal Sent,Plus,5,50,112794.37,209662.96,,170,2024-02-01,2024-10-16 00:00:00
33,Salesperson_3,EU,Education,Event,Closed Lost,Enterprise,4,200,85353.17,133690.95,,119,2024-02-02,
34,Salesperson_4,North America,Other,Partner,Closed Won,Plus,5,200,76463.33,45989.66,No Decision,113,2024-02-03,2024-04-28 00:00:00
35,Salesperson_5,EU,Education,Marketing,Proposal Sent,Essentials,3,50,131781.18,40912.83,,121,2024-02-04,2024-08-06 00:00:00
36,Salesperson_6,EU,Manufacturing,Partner,Closed Won,Essentials,3,3,144514.12,28007.97,,106,2024-02-05,
37,Salesperson_7,North America,Manufacturing,Inbound,Qualified,Essentials,3,200,66477.63,79627.56,,31,2024-02-06,2024-08-16 00:00:00
38,Salesperson_8,EU,Energy & Utilities,Inbound,Closed Lost,Enterprise,4,150,78758.94,185365.68,,135,2024-02-07,2024-11-06 00:00:00
39,Salesperson_9,North America,Healthcare,Event,Qualified,Essentials,1,3,110965.62,115891.01,Budget Constraints,16,2024-02-08,2024-08-07 00:00:00
40,Salesperson_10,EU,Healthcare,Outbound,Closed Lost,Plus,3,50,74550.11,185029.68,Budget Constraints,135,2024-02-09,2023-12-09 00:00:00
41,Salesperson_1,EU,Manufacturing,Outbound,Closed Won,Plus,1,200,79676.67,247499.31,,36,2024-02-10,2024-07-15 00:00:00
42,Salesperson_2,EU,Education,Partner,Closed Lost,Premium,5,50,149703.39,68048.18,,92,2024-02-11,2024-09-22 00:00:00
43,Salesperson_3,EU,Healthcare,Inbound,Closed Won,Enterprise,5,3,133771.68,124190.86,Chose Competitor,153,2024-02-12,2024-05-22 00:00:00
44,Salesperson_4,EU,Energy & Utilities,Partner,Negotiation,Enterprise,3,3,106192.88,94250.89,,133,2024-02-13,
45,Salesperson_5,EU,Manufacturing,Event,Proposal Sent,Essentials,2,50,63793.36,8322.46,Lack of Features,166,2024-02-14,2024-01-21 00:00:00
46,Salesperson_6,EU,Other,Event,Closed Won,Enterprise,2,200,94361.56,91393.46,,109,2024-02-15,2024-05-07 00:00:00
47,Salesperson_7,EU,Manufacturing,Partner,Closed Won,Enterprise,5,50,137078.53,178988.5,,88,2024-02-16,2024-06-19 00:00:00
48,Salesperson_8,EU,Other,Inbound,Proposal Sent,Enterprise,5,3,113158.0,223386.24,,137,2024-02-17,2024-01-25 00:00:00
49,Salesperson_9,EU,Other,Inbound,Closed Won,Plus,3,150,108553.21,194758.94,,83,2024-02-18,
50,Salesperson_10,EU,Education,Event,Closed Lost,Plus,4,50,106875.8,214954.26,,24,2024-02-19,
51,Salesperson_1,EU,Education,Marketing,Proposal Sent,Plus,2,150,113701.85,226030.87,,145,2024-02-20,
52,Salesperson_2,EU,Energy & Utilities,Outbound,Closed Lost,Essentials,4,3,40412.81,150957.17,,20,2024-02-21,
53,Salesperson_3,EU,Education,Marketing,Closed Lost,Plus,1,50,112152.56,32626.46,,58,2024-02-22,
54,Salesperson_4,North America,Managed Service Providers,Inbound,Proposal Sent,Essentials,5,50,142875.92,173017.12,,32,2024-02-23,2024-05-26 00:00:00
55,Salesperson_5,EU,Other,Event,Negotiation,Premium,2,50,124387.69,183412.81,,88,2024-02-24,2024-03-24 00:00:00
56,Salesperson_6,EU,Energy & Utilities,Partner,Qualified,Plus,5,200,132648.12,10078.18,,160,2024-02-25,
57,Salesperson_7,EU,Managed Service Providers,Marketing,Proposal Sent,Plus,1,150,81576.16,244766.17,Lack of Features,156,2024-02-26,2024-02-20 00:00:00
58,Salesperson_8,EU,Education,Inbound,Closed Won,Premium,2,3,93333.07,214785.05,Lack of Features,148,2024-02-27,
59,Salesperson_9,EU,Healthcare,Marketing,Closed Won,Premium,1,3,93069.16,166544.89,,54,2024-02-28,2024-01-26 00:00:00
60,Salesperson_10,EU,Energy & Utilities,Event,Closed Lost,Premium,1,200,144873.87,39700.12,,174,2024-02-29,
61,Salesperson_1,North America,Manufacturing,Outbound,Closed Lost,Premium,1,50,102805.71,126968.9,Chose Competitor,90,2024-03-01,2023-12-07 00:00:00
62,Salesperson_2,EU,Manufacturing,Marketing,Closed Lost,Enterprise,4,200,132879.93,64870.11,Lack of Features,22,2024-03-02,2024-11-08 00:00:00
63,Salesperson_3,EU,Manufacturing,Partner,Closed Won,Enterprise,4,150,80909.88,186548.05,No Decision,146,2024-03-03,2024-03-17 00:00:00
64,Salesperson_4,EU,Other,Outbound,Closed Won,Premium,1,50,37634.94,243456.19,No Decision,17,2024-03-04,
65,Salesperson_5,North America,Energy & Utilities,Marketing,Closed Won,Plus,4,150,15892.74,93057.88,,22,2024-03-05,2024-07-15 00:00:00
66,Salesperson_6,EU,Managed Service Providers,Partner,Negotiation,Enterprise,4,150,126714.3,187369.45,,87,2024-03-06,
67,Salesperson_7,EU,Education,Marketing,Closed Won,Essentials,1,150,79484.25,52491.32,,108,2024-03-07,2024-01-03 00:00:00
68,Salesperson_8,EU,Healthcare,Event,Closed Won,Enterprise,1,150,143110.12,238929.53,,58,2024-03-08,
69,Salesperson_9,EU,Healthcare,Outbound,Closed Lost,Premium,4,150,66294.73,161489.77,,100,2024-03-09,2024-06-02 00:00:00
70,Salesperson_10,EU,Energy & Utilities,Marketing,Proposal Sent,Plus,3,3,59968.74,241536.0,,147,2024-03-10,2024-03-26 00:00:00
71,Salesperson_1,EU,Energy & Utilities,Partner,Qualified,Premium,1,3,59126.14,219900.29,,23,2024-03-11,2024-06-16 00:00:00
72,Salesperson_2,North America,Education,Outbound,Closed Won,Premium,1,3,21418.86,171306.37,,121,2024-03-12,
73,Salesperson_3,North America,Manufacturing,Event,Qualified,Premium,2,50,137536.55,225309.24,,140,2024-03-13,
74,Salesperson_4,EU,Energy & Utilities,Event,Qualified,Premium,1,150,41215.96,115070.99,No Decision,144,2024-03-14,2024-01-12 00:00:00
75,Salesperson_5,EU,Healthcare,Inbound,Negotiation,Essentials,4,3,83172.35,239785.0,,55,2024-03-15,2024-11-16 00:00:00
76,Salesperson_6,EU,Energy & Utilities,Inbound,Proposal Sent,Plus,4,150,116130.02,134092.19,,140,2024-03-16,
77,Salesperson_7,North America,Energy & Utilities,Outbound,Negotiation,Plus,4,200,22090.48,70000.79,,104,2024-03-17,
78,Salesperson_8,EU,Education,Outbound,Negotiation,Plus,5,3,48380.81,171371.26,,21,2024-03-18,
79,Salesperson_9,EU,Managed Service Providers,Inbound,Qualified,Enterprise,2,150,47564.03,222558.75,,64,2024-03-19,2024-03-07 00:00:00
80,Salesperson_10,EU,Education,Outbound,Negotiation,Plus,5,200,35894.56,100801.43,,35,2024-03-20,2024-03-09 00:00:00
81,Salesperson_1,EU,Manufacturing,Outbound,Proposal Sent,Plus,1,150,112013.73,107237.1,,127,2024-03-21,2024-07-04 00:00:00
82,Salesperson_2,EU,Manufacturing,Partner,Proposal Sent,Premium,2,150,87482.08,248516.21,,57,2024-03-22,
83,Salesperson_3,EU,Managed Service Providers,Outbound,Closed Won,Essentials,1,50,36532.16,80784.21,No Decision,66,2024-03-23,2024-02-21 00:00:00
84,Salesperson_4,North America,Healthcare,Event,Qualified,Premium,5,150,49198.87,15069.49,Budget Constraints,91,2024-03-24,
85,Salesperson_5,EU,Managed Service Providers,Outbound,Qualified,Essentials,5,50,140301.16,132419.04,,28,2024-03-25,2024-01-27 00:00:00
86,Salesperson_6,EU,Managed Service Providers,Outbound,Proposal Sent,Enterprise,5,200,98231.18,89102.24,,62,2024-03-26,2024-03-02 00:00:00
87,Salesperson_7,North America,Other,Marketing,Qualified,Plus,2,150,124730.47,155030.02,,136,2024-03-27,2024-04-04 00:00:00
88,Salesperson_8,EU,Other,Marketing,Closed Lost,Premium,1,200,10137.22,111197.61,,62,2024-03-28,2024-08-30 00:00:00
89,Salesperson_9,EU,Energy & Utilities,Event,Closed Won,Essentials,3,3,72143.26,116481.78,,156,2024-03-29,2024-01-19 00:00:00
90,Salesperson_10,EU,Education,Inbound,Closed Won,Enterprise,4,200,94573.56,242197.49,,173,2024-03-30,2024-09-26 00:00:00
91,Salesperson_1,EU,Manufacturing,Marketing,Negotiation,Enterprise,2,50,75798.64,199123.43,,166,2024-03-31,
92,Salesperson_2,EU,Energy & Utilities,Event,Negotiation,Premium,3,200,56582.89,75660.09,,13,2024-04-01,
93,Salesperson_3,EU,Other,Marketing,Proposal Sent,Essentials,1,50,94251.89,242520.12,,21,2024-04-02,2024-03-20 00:00:00
94,Salesperson_4,EU,Managed Service Providers,Marketing,Closed Won,Plus,3,150,52640.01,127237.12,Lack of Features,107,2024-04-03,2024-11-19 00:00:00
95,Salesperson_5,EU,Energy & Utilities,Marketing,Proposal Sent,Plus,1,50,56314.45,172954.04,,62,2024-04-04,2023-12-23 00:00:00
96,Salesperson_6,EU,Education,Inbound,Proposal Sent,Essentials,2,50,5747.39,119247.78,No Decision,39,2024-04-05,
97,Salesperson_7,North America,Other,Marketing,Qualified,Premium,1,200,134078.46,41805.8,,84,2024-04-06,
98,Salesperson_8,EU,Healthcare,Outbound,Qualified,Premium,2,200,31992.87,241834.51,,11,2024-04-07,2024-08-20 00:00:00
99,Salesperson_9,North America,Energy & Utilities,Event,Negotiation,Essentials,5,3,56407.19,157829.81,,71,2024-04-08,2023-12-08 00:00:00
100,Salesperson_10,North America,Managed Service Providers,Marketing,Negotiation,Plus,3,50,19693.98,167758.48,Lack of Features,178,2024-04-09,
101,Salesperson_1,EU,Managed Service Providers,Event,Negotiation,Plus,5,50,76346.69,79393.17,,94,2024-04-10,2024-04-08 00:00:00
102,Salesperson_2,EU,Managed Service Providers,Event,Qualified,Premium,1,50,17287.85,75623.69,,55,2024-04-11,
103,Salesperson_3,EU,Other,Partner,Proposal Sent,Enterprise,2,3,79576.2,200947.34,Budget Constraints,109,2024-04-12,
104,Salesperson_4,EU,Managed Service Providers,Partner,Proposal Sent,Enterprise,3,3,27288.05,8820.14,,68,2024-04-13,2024-08-29 00:00:00
105,Salesperson_5,EU,Managed Service Providers,Outbound,Proposal Sent,Premium,4,3,22957.18,15033.51,,105,2024-04-14,2024-01-17 00:00:00
106,Salesperson_6,EU,Education,Partner,Proposal Sent,Essentials,2,150,75674.76,74339.24,,112,2024-04-15,
107,Salesperson_7,EU,Education,Partner,Proposal Sent,Essentials,3,3,27566.41,150302.55,,21,2024-04-16,2024-05-18 00:00:00
108,Salesperson_8,EU,Energy & Utilities,Event,Closed Won,Plus,3,150,100211.85,18032.35,,49,2024-04-17,
109,Salesperson_9,EU,Energy & Utilities,Marketing,Negotiation,Plus,5,200,37783.81,79926.27,,46,2024-04-18,2024-02-27 00:00:00
110,Salesperson_10,North America,Energy & Utilities,Inbound,Closed Lost,Premium,1,50,62327.03,110429.09,Lack of Features,163,2024-04-19,
111,Salesperson_1,North America,Healthcare,Partner,Closed Lost,Plus,2,3,48396.32,166762.06,,73,2024-04-20,2024-02-17 00:00:00
112,Salesperson_2,EU,Healthcare,Outbound,Closed Lost,Enterprise,2,3,67109.51,5157.22,,169,2024-04-21,2024-03-24 00:00:00
113,Salesperson_3,EU,Other,Marketing,Qualified,Premium,2,3,31416.4,66601.2,,76,2024-04-22,2024-04-12 00:00:00
114,Salesperson_4,EU,Energy & Utilities,Outbound,Closed Won,Enterprise,2,50,122673.86,90803.47,Chose Competitor,118,2024-04-23,
115,Salesperson_5,North America,Healthcare,Marketing,Negotiation,Plus,1,150,20760.77,74400.06,,156,2024-04-24,2024-10-19 00:00:00
116,Salesperson_6,North America,Manufacturing,Outbound,Closed Lost,Plus,5,3,68592.95,215457.58,,170,2024-04-25,2023-12-17 00:00:00
117,Salesperson_7,EU,Manufacturing,Inbound,Closed Won,Enterprise,1,50,126706.83,168004.87,,89,2024-04-26,2024-04-30 00:00:00
118,Salesperson_8,EU,Other,Event,Closed Won,Enterprise,1,200,28465.97,193376.92,,62,2024-04-27,
119,Salesperson_9,EU,Manufacturing,Event,Closed Lost,Premium,1,150,56291.98,42984.07,,177,2024-04-28,2024-09-12 00:00:00
120,Salesperson_10,EU,Managed Service Providers,Event,Closed Won,Premium,4,150,67924.22,26070.85,,79,2024-04-29,2024-08-31 00:00:00
121,Salesperson_1,EU,Other,Partner,Proposal Sent,Essentials,4,50,57089.33,71313.88,,114,2024-04-30,2024-08-18 00:00:00
122,Salesperson_2,EU,Other,Event,Closed Lost,Enterprise,3,50,131224.54,248998.99,,12,2024-05-01,
123,Salesperson_3,EU,Manufacturing,Outbound,Closed Lost,Essentials,1,3,33777.37,53198.22,Lack of Features,116,2024-05-02,2024-02-16 00:00:00
124,Salesperson_4,EU,Energy & Utilities,Inbound,Proposal Sent,Premium,2,3,32487.22,148380.08,,115,2024-05-03,2024-07-10 00:00:00
125,Salesperson_5,EU,Managed Service Providers,Partner,Negotiation,Plus,1,50,10837.16,24775.89,,106,2024-05-04,2023-12-21 00:00:00
126,Salesperson_6,EU,Manufacturing,Outbound,Proposal Sent,Plus,2,3,62209.17,58620.15,,81,2024-05-05,2024-04-24 00:00:00
127,Salesperson_7,EU,Energy & Utilities,Partner,Closed Lost,Enterprise,4,50,112868.98,120928.55,,58,2024-05-06,2024-11-01 00:00:00
128,Salesperson_8,North America,Manufacturing,Outbound,Closed Lost,Plus,2,200,135644.68,91884.9,,134,2024-05-07,2024-09-07 00:00:00
129,Salesperson_9,North America,Other,Outbound,Proposal Sent,Premium,5,200,28245.31,203868.73,Lack of Features,74,2024-05-08,2024-05-05 00:00:00
130,Salesperson_10,North America,Managed Service Providers,Marketing,Closed Lost,Essentials,3,200,33853.83,161075.94,,163,2024-05-09,2024-10-22 00:00:00
131,Salesperson_1,EU,Managed Service Providers,Outbound,Negotiation,Essentials,3,150,74497.77,108528.01,Budget Constraints,12,2024-05-10,
132,Salesperson_2,EU,Healthcare,Partner,Qualified,Essentials,2,200,101460.22,241892.17,,170,2024-05-11,2024-02-27 00:00:00
133,Salesperson_3,North America,Energy & Utilities,Partner,Closed Lost,Premium,5,150,43540.94,29043.98,,111,2024-05-12,
134,Salesperson_4,North America,Energy & Utilities,Partner,Qualified,Plus,1,150,66058.82,69008.92,,20,2024-05-13,
135,Salesperson_5,EU,Managed Service Providers,Outbound,Negotiation,Plus,1,3,84767.93,78995.55,,124,2024-05-14,2024-09-12 00:00:00
136,Salesperson_6,EU,Healthcare,Event,Closed Lost,Enterprise,5,3,120973.91,81130.27,Budget Constraints,42,2024-05-15,2024-07-20 00:00:00
137,Salesperson_7,EU,Energy & Utilities,Inbound,Qualified,Premium,3,3,108576.54,143157.36,,179,2024-05-16,
138,Salesperson_8,EU,Healthcare,Inbound,Closed Lost,Essentials,4,50,52108.72,171336.19,Chose Competitor,67,2024-05-17,
139,Salesperson_9,EU,Managed Service Providers,Event,Negotiation,Enterprise,1,200,115836.94,84007.58,,28,2024-05-18,2024-03-23 00:00:00
140,Salesperson_10,EU,Energy & Utilities,Partner,Qualified,Essentials,5,3,132856.15,146651.02,Chose Competitor,173,2024-05-19,2024-08-04 00:00:00
141,Salesperson_1,EU,Education,Inbound,Qualified,Premium,3,3,77769.49,172413.69,,39,2024-05-20,2024-05-07 00:00:00
142,Salesperson_2,EU,Healthcare,Marketing,Closed Won,Plus,1,200,138916.38,53879.13,,39,2024-05-21,
143,Salesperson_3,EU,Managed Service Providers,Partner,Closed Won,Plus,3,50,127244.12,38244.23,,50,2024-05-22,
144,Salesperson_4,North America,Energy & Utilities,Inbound,Closed Lost,Essentials,4,50,61383.03,140799.52,,135,2024-05-23,
145,Salesperson_5,EU,Other,Marketing,Negotiation,Premium,1,150,20911.25,78760.26,,27,2024-05-24,2023-12-16 00:00:00
146,Salesperson_6,EU,Energy & Utilities,Outbound,Qualified,Essentials,1,3,20642.54,25971.49,,56,2024-05-25,2024-03-05 00:00:00
147,Salesperson_7,EU,Other,Event,Negotiation,Premium,3,150,8067.07,143832.95,,147,2024-05-26,2024-10-18 00:00:00
148,Salesperson_8,EU,Other,Inbound,Closed Won,Premium,3,150,27553.59,158938.11,,93,2024-05-27,2024-10-15 00:00:00
149,Salesperson_9,EU,Energy & Utilities,Event,Closed Lost,Premium,1,50,77500.14,138728.52,,52,2024-05-28,
150,Salesperson_10,EU,Healthcare,Inbound,Closed Won,Enterprise,5,50,116270.82,97111.66,,75,2024-05-29,2024-04-24 00:00:00
151,Salesperson_1,North America,Energy & Utilities,Marketing,Closed Won,Essentials,5,3,39293.22,219600.76,,111,2024-05-30,
152,Salesperson_2,EU,Education,Outbound,Closed Lost,Essentials,1,200,103355.0,112038.74,,82,2024-05-31,2024-07-29 00:00:00
153,Salesperson_3,EU,Other,Event,Closed Won,Premium,5,3,54610.44,38959.42,,147,2024-06-01,
154,Salesperson_4,EU,Managed Service Providers,Outbound,Qualified,Essentials,2,150,146583.59,113265.83,,83,2024-06-02,2024-04-14 00:00:00
155,Salesperson_5,EU,Managed Service Providers,Outbound,Negotiation,Enterprise,3,150,111927.58,81748.81,,82,2024-06-03,2024-06-10 00:00:00
156,Salesperson_6,EU,Manufacturing,Marketing,Proposal Sent,Premium,5,3,67977.63,234045.55,,155,2024-06-04,
157,Salesperson_7,EU,Healthcare,Inbound,Qualified,Enterprise,1,50,46972.66,179586.63,Chose Competitor,76,2024-06-05,2023-12-14 00:00:00
158,Salesperson_8,EU,Education,Outbound,Qualified,Plus,5,200,75459.74,119752.82,,37,2024-06-06,
159,Salesperson_9,EU,Other,Outbound,Closed Won,Enterprise,4,200,115330.49,109778.95,,40,2024-06-07,2024-04-05 00:00:00
160,Salesperson_10,EU,Education,Event,Negotiation,Essentials,2,150,40923.36,108023.89,,111,2024-06-08,
161,Salesperson_1,EU,Manufacturing,Outbound,Negotiation,Plus,4,50,27111.88,105513.36,,61,2024-06-09,
162,Salesperson_2,EU,Other,Event,Proposal Sent,Essentials,3,200,79129.78,11779.87,No Decision,32,2024-06-10,
163,Salesperson_3,EU,Other,Event,Proposal Sent,Premium,2,200,41172.68,141932.73,,152,2024-06-11,2024-01-12 00:00:00
164,Salesperson_4,North America,Healthcare,Inbound,Proposal Sent,Premium,4,50,116175.5,239585.48,,137,2024-06-12,
165,Salesperson_5,North America,Managed Service Providers,Partner,Closed Won,Premium,4,50,130304.19,108125.06,,61,2024-06-13,
166,Salesperson_6,EU,Healthcare,Inbound,Negotiation,Premium,3,3,149167.27,190184.83,,42,2024-06-14,2024-01-01 00:00:00
167,Salesperson_7,EU,Other,Outbound,Qualified,Enterprise,3,3,40866.38,155726.09,,142,2024-06-15,2024-01-20 00:00:00
168,Salesperson_8,EU,Manufacturing,Event,Closed Won,Essentials,4,150,123988.37,79085.55,,19,2024-06-16,
169,Salesperson_9,EU,Energy & Utilities,Inbound,Negotiation,Plus,3,3,33769.81,64448.19,Chose Competitor,130,2024-06-17,2024-10-14 00:00:00
170,Salesperson_10,EU,Other,Event,Closed Won,Premium,3,200,107436.83,130490.66,,132,2024-06-18,2024-11-06 00:00:00
171,Salesperson_1,North America,Healthcare,Marketing,Closed Won,Enterprise,2,3,122443.11,36182.34,,37,2024-06-19,2024-02-08 00:00:00
172,Salesperson_2,EU,Energy & Utilities,Marketing,Closed Won,Essentials,4,150,106666.02,138101.04,,38,2024-06-20,2024-09-08 00:00:00
173,Salesperson_3,EU,Energy & Utilities,Partner,Negotiation,Plus,1,150,77838.42,143565.78,,68,2024-06-21,
174,Salesperson_4,EU,Manufacturing,Inbound,Closed Won,Plus,2,50,31272.3,76869.08,,19,2024-06-22,2024-07-02 00:00:00
175,Salesperson_5,North America,Manufacturing,Inbound,Qualified,Plus,3,50,148919.99,190057.12,,109,2024-06-23,2024-03-29 00:00:00
176,Salesperson_6,EU,Education,Outbound,Closed Lost,Essentials,4,150,90723.45,101201.53,,57,2024-06-24,
177,Salesperson_7,EU,Healthcare,Event,Qualified,Plus,1,50,96999.19,103720.82,Chose Competitor,31,2024-06-25,
178,Salesperson_8,EU,Other,Inbound,Closed Won,Premium,1,3,38260.71,6458.45,Lack of Features,27,2024-06-26,2024-02-21 00:00:00
179,Salesperson_9,EU,Energy & Utilities,Outbound,Proposal Sent,Plus,1,200,24182.89,202832.85,,71,2024-06-27,
180,Salesperson_10,EU,Manufacturing,Marketing,Qualified,Essentials,1,3,10563.13,219353.16,,121,2024-06-28,
181,Salesperson_1,EU,Other,Inbound,Closed Won,Premium,4,50,148607.83,117754.08,,167,2024-06-29,
182,Salesperson_2,EU,Other,Event,Negotiation,Plus,5,50,139719.26,18314.83,,104,2024-06-30,2024-03-17 00:00:00
183,Salesperson_3,North America,Education,Event,Proposal Sent,Premium,2,200,66813.93,18399.72,No Decision,122,2024-07-01,2023-12-05 00:00:00
184,Salesperson_4,EU,Managed Service Providers,Inbound,Closed Won,Premium,4,200,94387.77,208324.1,,46,2024-07-02,
185,Salesperson_5,EU,Manufacturing,Marketing,Negotiation,Premium,1,50,18185.64,164220.59,,123,2024-07-03,
186,Salesperson_6,EU,Healthcare,Inbound,Negotiation,Premium,4,200,12388.53,86703.45,No Decision,162,2024-07-04,
187,Salesperson_7,North America,Other,Partner,Qualified,Essentials,1,200,64058.09,28862.77,No Decision,20,2024-07-05,
188,Salesperson_8,EU,Managed Service Providers,Inbound,Proposal Sent,Premium,1,3,49434.66,76191.35,,179,2024-07-06,
189,Salesperson_9,EU,Manufacturing,Event,Closed Won,Premium,4,50,96829.95,122959.64,,138,2024-07-07,2024-06-02 00:00:00
190,Salesperson_10,EU,Managed Service Providers,Partner,Negotiation,Enterprise,4,50,38557.01,86170.36,,58,2024-07-08,2024-03-16 00:00:00
191,Salesperson_1,EU,Energy & Utilities,Event,Closed Lost,Plus,4,50,53745.79,19911.87,Budget Constraints,63,2024-07-09,
192,Salesperson_2,EU,Manufacturing,Event,Qualified,Premium,2,3,74483.31,186415.87,,91,2024-07-10,
193,Salesperson_3,EU,Manufacturing,Inbound,Closed Won,Enterprise,4,150,78930.24,170231.18,,21,2024-07-11,
194,Salesperson_4,North America,Healthcare,Partner,Closed Lost,Enterprise,3,150,98361.61,186144.04,,155,2024-07-12,2024-01-04 00:00:00
195,Salesperson_5,EU,Other,Event,Closed Won,Plus,2,3,49122.05,17989.97,Chose Competitor,13,2024-07-13,2024-07-06 00:00:00
196,Salesperson_6,North America,Education,Marketing,Closed Won,Premium,2,150,44040.68,55240.79,,49,2024-07-14,
197,Salesperson_7,EU,Managed Service Providers,Inbound,Proposal Sent,Plus,5,200,45680.61,40317.22,,97,2024-07-15,
198,Salesperson_8,EU,Education,Inbound,Closed Lost,Premium,3,200,55898.55,186403.91,,74,2024-07-16,2024-06-09 00:00:00
199,Salesperson_9,North America,Manufacturing,Event,Negotiation,Enterprise,5,50,65620.76,126349.64,,54,2024-07-17,
200,Salesperson_10,North America,Healthcare,Partner,Negotiation,Plus,1,3,51376.93,59768.18,,99,2024-07-18,
201,Salesperson_1,North America,Healthcare,Outbound,Qualified,Essentials,3,3,11895.68,170541.79,,128,2024-07-19,2024-06-18 00:00:00
202,Salesperson_2,North America,Manufacturing,Marketing,Qualified,Premium,5,200,10928.92,213802.65,,61,2024-07-20,2024-06-03 00:00:00
203,Salesperson_3,North America,Energy & Utilities,Outbound,Negotiation,Premium,2,200,12558.94,78718.59,,174,2024-07-21,
204,Salesperson_4,EU,Managed Service Providers,Inbound,Negotiation,Premium,2,50,112989.43,81168.25,Budget Constraints,24,2024-07-22,2024-07-09 00:00:00
